date,usd_per_eur
2017-01-02,1.0465
2017-01-03,1.0385
2017-01-04,1.0437
2017-01-05,1.0501
2017-01-06,1.0589
2017-01-09,1.0516
2017-01-10,1.0567
2017-01-11,1.0503
2017-01-12,1.0679
2017-01-13,1.0661
2017-01-16,1.0594
2017-01-17,1.0684
2017-01-18,1.0664
2017-01-19,1.0668
2017-01-20,1.0632
2017-01-23,1.0715
2017-01-24,1.0748
2017-01-25,1.0743
2017-01-26,1.07
2017-01-27,1.0681
2017-01-30,1.063
2017-01-31,1.0755
2017-02-01,1.079
2017-02-02,1.0808
2017-02-03,1.0741
2017-02-06,1.0712
2017-02-07,1.0675
2017-02-08,1.0665
2017-02-09,1.0692
2017-02-10,1.0629
2017-02-13,1.0629
2017-02-14,1.0623
2017-02-15,1.0555
2017-02-16,1.0652
2017-02-17,1.065
2017-02-20,1.0616
2017-02-21,1.0537
2017-02-22,1.0513
2017-02-23,1.0573
2017-02-24,1.0609
2017-02-27,1.0587
2017-02-28,1.0597
2017-03-01,1.0533
2017-03-02,1.0514
2017-03-03,1.0565
2017-03-06,1.0592
2017-03-07,1.0576
2017-03-08,1.0556
2017-03-09,1.0551
2017-03-10,1.0606
2017-03-13,1.0663
2017-03-14,1.0631
2017-03-15,1.0622
2017-03-16,1.0726
2017-03-17,1.0737
2017-03-20,1.0752
2017-03-21,1.0802
2017-03-22,1.0807
2017-03-23,1.0786
2017-03-24,1.0805
2017-03-27,1.0889
2017-03-28,1.0859
2017-03-29,1.0748
2017-03-30,1.0737
2017-03-31,1.0691
2017-04-03,1.0661
2017-04-04,1.0651
2017-04-05,1.0678
2017-04-06,1.0666
2017-04-07,1.063
2017-04-10,1.0578
2017-04-11,1.0616
2017-04-12,1.0605
2017-04-13,1.063
2017-04-18,1.0682
2017-04-19,1.0725
2017-04-20,1.0745
2017-04-21,1.0698
2017-04-24,1.0848
2017-04-25,1.0891
2017-04-26,1.0893
2017-04-27,1.0881
2017-04-28,1.093
2017-05-02,1.0915
2017-05-03,1.0919
2017-05-04,1.0927
2017-05-05,1.0961
2017-05-08,1.0938
2017-05-09,1.0888
2017-05-10,1.0882
2017-05-11,1.086
2017-05-12,1.0876
2017-05-15,1.0972
2017-05-16,1.1059
2017-05-17,1.1117
2017-05-18,1.1129
2017-05-19,1.1179
2017-05-22,1.1243
2017-05-23,1.1215
2017-05-24,1.1193
2017-05-25,1.1214
2017-05-26,1.1196
2017-05-29,1.1188
2017-05-30,1.1173
2017-05-31,1.1221
2017-06-01,1.1219
2017-06-02,1.1217
2017-06-05,1.1249
2017-06-06,1.1258
2017-06-07,1.1217
2017-06-08,1.1229
2017-06-09,1.1176
2017-06-12,1.1221
2017-06-13,1.1217
2017-06-14,1.1203
2017-06-15,1.1166
2017-06-16,1.1167
2017-06-19,1.1199
2017-06-20,1.1156
2017-06-21,1.1147
2017-06-22,1.1169
2017-06-23,1.1173
2017-06-26,1.1187
2017-06-27,1.1278
2017-06-28,1.1375
2017-06-29,1.1413
