date,block_id,distance_km,return_seconds,first_seconds,trip_count,class,hydrogen_kg,return_hour
2026-08-07,A-A,350.4507748326565,74580,20820,21,HD,36.79733135742893,20
2026-08-07,A-B,316.7063883265427,71280,23460,19,HD,33.25417077428698,19
2026-08-07,A04-1,26.77766773383113,35160,24840,6,LD,2.0083250800373347,9
2026-08-07,A04-2,26.77766773383113,32880,22860,6,LD,2.0083250800373347,9
2026-08-07,A04-3,13.540886221653384,33960,28560,3,LD,1.0155664666240038,9
2026-08-07,A04-4,13.236781512177746,28140,23940,3,LD,0.9927586134133309,7
2026-08-07,A04-5,17.703608083007467,67020,57600,4,LD,1.3277706062255599,18
2026-08-07,A04-6,26.555412124511196,68760,54600,6,LD,1.9916559093383397,19
2026-08-07,A04-7,26.555412124511196,69960,56100,6,LD,1.9916559093383397,19
2026-08-07,A09-8,42.7498975003207,72300,54300,8,LD,3.2062423125240525,20
2026-08-07,A10-10,28.692300355721255,62280,51900,3,LD,2.151922526679094,17
2026-08-07,A10-11,19.16854280389071,44340,37800,2,LD,1.4376407102918032,12
2026-08-07,A10-12,19.16854280389071,51540,44700,2,LD,1.4376407102918032,14
2026-08-07,A10-9,38.33708560778142,36660,24600,4,LD,2.8752814205836064,10
2026-08-07,A44-13,56.16366486091292,71460,53100,9,LD,4.212274864568468,19
2026-08-07,A45-14,40.545948595737414,34020,19500,7,LD,3.040946144680306,9
2026-08-07,A501-125,40.55349313038853,32880,25440,3,LD,3.04151198477914,9
2026-08-07,A501-126,40.55349313038853,33780,26160,3,LD,3.04151198477914,9
2026-08-07,A501-127,40.55349313038853,29280,22560,3,LD,3.04151198477914,8
2026-08-07,A501-128,40.55349313038853,35160,27600,3,LD,3.04151198477914,9
2026-08-07,A501-129,40.55349313038853,30900,23760,3,LD,3.04151198477914,8
2026-08-07,A501-130,50.93447741365945,34320,24720,4,LD,3.8200858060244585,9
2026-08-07,A501-131,25.467238706829725,36060,31500,2,LD,1.9100429030122292,10
2026-08-07,A501-132,78.2697522168082,68940,51900,6,LD,5.870231416260615,19
2026-08-07,A501-133,41.74106252279087,67020,57600,3,LD,3.130579689209315,18
