OMIE - Mercado de electricidad;Fecha Emisión :02/01/2017 - 13:59;;01/01/2017;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  58,82;  58,23;  51,95;  47,27;  45,49;  44,50;  44,50;  44,72;  44,22;  45,13;  46,23;  47,91;  49,57;  48,69;  47,20;  46,51;  46,52;  51,59;  59,07;  62,10;  64,20;  60,69;  59,07;  52,00;
Precio marginal en el sistema portugués (EUR/MWh);  58,82;  58,23;  51,95;  47,27;  46,90;  46,60;  46,25;  46,10;  46,10;  45,13;  46,23;  47,91;  49,57;  48,69;  47,20;  46,51;  46,52;  51,59;  59,07;  62,10;  64,20;  60,69;  59,07;  52,00;
Energía total de compra sistema español (MWh);  16046,0;  14454,2;  13306,9;  12295,7;  12506,9;  13201,8;  13339,8;  13459,8;  13780,6;  14572,9;  15641,1;  16712,6;  17198,4;  18003,2;  18047,9;  16946,0;  16139,5;  15980,3;  17731,5;  18944,0;  19893,7;  20396,6;  20141,2;  18397,6;
Energía total de venta sistema español (MWh);  15487,1;  15114,5;  13971,2;  13182,1;  12923,6;  12620,3;  12528,3;  12855,0;  12902,7;  13432,5;  14333,8;  15533,3;  16080,6;  16238,9;  15973,5;  15822,2;  15485,4;  15277,5;  15925,1;  16862,1;  17544,3;  17532,5;  17243,5;  16217,8;
Energía total de compra sistema portugués (MWh);   5070,9;   4882,7;   4558,3;   4326,7;   5002,4;   4970,9;   5090,0;   5216,2;   5261,9;   5422,7;   5440,5;   4659,2;   4972,5;   5116,7;   5205,8;   5815,3;   5725,8;   4629,6;   5127,8;   5759,7;   5939,3;   5993,5;   5819,5;   5625,0;
Energía total de venta sistema portugués (MWh);   4229,4;   3460,5;   3315,3;   3138,5;   3002,4;   2970,9;   3090,0;   3216,2;   3261,9;   3563,1;   3747,8;   4150,6;   4274,6;   4316,1;   4280,2;   4251,9;   4322,8;   4724,9;   5153,4;   5418,7;   5688,7;   5857,6;   5717,2;   5650,2;
Energía total del mercado Ibérico (MWh);  21116,9;  19336,9;  17865,2;  16622,4;  17509,3;  18172,7;  18429,8;  18676,0;  19042,5;  19995,6;  21081,6;  21371,8;  22170,9;  23119,9;  23253,7;  22761,3;  21865,3;  20609,9;  22859,3;  24703,7;  25833,0;  26390,1;  25960,7;  24022,6;
Energía total con bilaterales del mercado Ibérico (MWh);  27762,1;  25882,7;  24387,2;  23114,0;  23938,5;  24595,5;  24930,2;  25210,8;  25620,0;  26630,3;  27756,3;  28009,5;  28820,7;  29715,6;  29834,3;  29348,0;  28450,6;  27292,1;  30129,6;  32233,7;  33302,0;  33803,2;  33085,2;  30733,1;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;     95,3;     25,6;      0,0;      0,0;      0,0;      0,0;     25,2;
Exportación de España a Portugal (MWh);    841,5;   1422,2;   1243,0;   1188,2;   2000,0;   2000,0;   2000,0;   2000,0;   2000,0;   1859,6;   1692,7;    508,6;    697,9;    800,6;    925,6;   1563,4;   1403,0;      0,0;      0,0;    341,0;    250,6;    135,9;    102,3;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
